threshold,f1,precision,recall,ap,pred_rate,method,seconds
0.033006485290825366,0.9275929549897167,0.983402489626556,0.8777777777777778,0.9510855069127883,0.04391399416909621,Blend ET 0.75 + XGBoost temporal,0.0
0.012533344435392332,0.924812030074688,0.9389312977099237,0.9111111111111111,0.9649011360114671,0.04774052478134111,Blend ET 0.25 + XGBoost temporal,0.0
0.04786818889437923,0.9215686274504821,0.9791666666666666,0.8703703703703703,0.9581718396023692,0.043731778425655975,Blend ET 0.50 + XGBoost temporal,0.0
0.012025941163301468,0.9213483146062416,0.9318181818181818,0.9111111111111111,0.9727153083876792,0.048104956268221574,XGBoost temporal,70.5
0.0158244932065845,0.917910447760694,0.924812030075188,0.9111111111111111,0.9546031440471796,0.04846938775510204,Blend ET 0.50 + XGBoost raw,0.0
0.024458864107728004,0.902195608781938,0.9783549783549783,0.837037037037037,0.9458193934432247,0.042091836734693876,Blend ET 0.75 + XGBoost raw,0.0
0.02443261444568634,0.9007633587781264,0.9291338582677166,0.8740740740740741,0.9526436429396209,0.04628279883381924,Blend ET 0.25 + XGBoost raw,0.0
0.01799640707952346,0.8964143426289849,0.9698275862068966,0.8333333333333334,0.9004025817255618,0.04227405247813411,Blend ET 0.75 + LightGBM raw,0.0
0.011998397285597788,0.8946322067589461,0.9656652360515021,0.8333333333333334,0.8936731228931167,0.04245626822157434,Blend ET 0.50 + LightGBM raw,0.0
0.007188378623992472,0.8933601609652985,0.9779735682819384,0.8222222222222222,0.8925971739277738,0.041362973760932946,Blend ET 0.25 + LightGBM raw,0.0
0.005004990665991173,0.8897338403036829,0.9140625,0.8666666666666667,0.9082557059269989,0.04664723032069971,Blend ET 0.25 + LightGBM temporal,0.0
0.00870334056857163,0.8783269961972189,0.90234375,0.8555555555555555,0.9052894453392532,0.04664723032069971,Blend ET 0.50 + LightGBM temporal,0.0
0.014994216787173283,0.8700787401569822,0.9285714285714286,0.8185185185185185,0.9044250715986845,0.04336734693877551,Blend ET 0.75 + LightGBM temporal,0.0
0.015997206487157602,0.8594059405935617,0.9234042553191489,0.8037037037037037,0.8495806024131111,0.04282069970845481,ExtraTrees temporal reference,20.8
0.01946808025240898,0.8400770712904448,0.8755020080321285,0.8074074074074075,0.9098250116324076,0.045371720116618074,XGBoost raw,24.6
0.0001672018368637532,0.8253358925138959,0.8565737051792829,0.7962962962962963,0.8793871611106017,0.045736151603498545,LightGBM temporal,216.9
1.7465013520664423e-06,0.6212121212116214,0.6356589147286822,0.6074074074074074,0.6147392191453199,0.04701166180758017,LightGBM raw,125.4
