threshold,f1,precision,recall,ap,pred_rate,method,seconds
0.018745635136183752,0.8594377510035196,0.9385964912280702,0.7925925925925926,0.8438262724648811,0.04154518950437318,ExtraTrees weighted temporal,15.0
0.006247719668682415,0.8409506398532478,0.8303249097472925,0.8518518518518519,0.8469978222635641,0.0504737609329446,RandomForest weighted raw,5.2
0.0019391223074664498,0.8399246704326451,0.8544061302681992,0.825925925925926,0.9086748896497842,0.04755830903790088,HistGB weighted raw,133.7
0.361983340962753,0.6236559139780076,0.7435897435897436,0.5370370370370371,0.587254512563773,0.03553206997084548,LogReg weighted temporal,137.0
0.006241276364764268,0.5578947368416066,0.53,0.5888888888888889,0.477390827027299,0.05466472303206997,ExtraTrees weighted raw,1.7
-0.21968887085973704,0.15298087738990326,0.1098546042003231,0.2518518518518518,0.07515080850711536,0.11279154518950438,IsolationForest raw,7.1
0.0013957816377171215,0.09378256338997659,0.049198250728862976,1.0,0.049198250728862976,1.0,Dummy prior,0.0
